"conference_acronym","conference_name","conference_location"
"Scopus-PRIS 2019","2019 International Conference on Pattern Recognition and Intelligent Systems (PRIS 2019)","Shanghai,China"
"CNSA  2019","12th International Conference on Security and its Applications","Vancouver, Canada"
"NET 2019"," 3rd International Conference on Networks and Communications","Chennai, India"
"PBIJ 2018","Pharmaceutical and Biomedical sciences: An International Journal","N/A"
"SOEA  2019","3rd International Conference on Software Engineering and Applications","Chennai, India"
"AISCA  2019","3rd International Conference on Artificial Intelligence, Soft Computing And Applications ","Chennai, India"
"SIPRO  2019","5th International Conference on Signal and Image Processing ","Toronto, Canada"
"IT 2019","8th International Conference on Information Theory ","Vancouver, Canada"
"NCOM 2019","5 th International Conference on Networks & Communications","Toronto, Canada "
" OPTLJ  2018","Integrated Optics and Lightwave : An International Journal","N/A"
"COMIT  2019"," 3rd International Conference on Computer Science and Information Technology ","Chennai, India"
"CCSEIT  2019","9th International Conference on Computer Science, Engineering and Information Technology","Vancouver, Canada"
"IJDKP 2018","International Journal of Data Mining & Knowledge Management Process","N/A"
"DKMP 2019","7th International Conference on Data Mining & Knowledge Management Process","Toronto, Canada"
"MoWIN  2019","8th International Conference on Mobile & Wireless Networks ","Vancouver, Canada"
"JoL 2018","International Journal of Law ","N/A"
"CCSEA 2019","9th International Conference on Computer Science, Engineering and Applications","Toronto, Canada"
"DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
"IJMSA 2018","International Journal of Modelling, Simulation and Applications","N/A"
"DMA 2019","5th International Conference on Data Mining and Applications","Dubai, UAE"
"BIO 2019","3rd International Conference on Bioscience & Engineering ","Dubai, UAE"
"PSGE-EI/Scopus/CPCI  2019","2019 International Conference on Power System and Green Energy  (PSGE 2019)","Shanghai, China"
"Scopus-ICDPR 2019","2019 3rd International Conference on Data Processing and Robotics (ICDPR 2019)","Los Angeles,USA"
"CP3E-EI/Scopus/CPCI 2019","2019 International Conference on Power, Electrical and Energy Engineering  (CP3E 2019)","Shanghai, China"
"ICGDA--Ei Compendex and Scopus 2019","2019 2nd International Conference on Geoinformatics and Data Analysis (ICGDA 2019)--Ei Compendex and Scopus","Prague, Czech Republic"
"ITCSE 2019","8th International Conference on Information Technology Convergence and Services ","Zurich, Switzerland"
"CRYPIS  2019","8th International Conference on Cryptography and Information Security ","Zurich, Switzerland"
"SIMCA 2019","IFAC MIM'2019 SIMCA Open Invited Track","Berlin, Germany"
"ITCA 2019","7th International Conference of Information Technology, Control and Automation ","Sydney, Australia"
"IJDMS 2018","International Journal of Database Management Systems","N/A"
"SIPM 2019","7th International Conference on Signal Image Processing and Multimedia ","Sydney, Australia"
"IJGCA 2018","International Journal of Grid Computing & Applications","N/A"
"CMIT 2019","7th International Conference of Managing Information Technology ","Sydney, Australia"
"IJCAx 2018","International Journal of Computer-Aided technologies ","N/A"
"AI & FL 2019","7th International Conference of Artificial Intelligence and Fuzzy Logic","Copenhagen, Denmark"
"DBDM  2019","7th International Conference on Database and Data Mining","Copenhagen, Denmark"
"IJPLA 2018","International Journal of Programming Languages and Applications","N/A"
"CSIP 2019","6th International Conference on Signal Processing","Copenhagen, Denmark"
"RSBD 2019","1st International Workshop on Recommender Systems with Big Data","Macau, China"
"ICGSP--Scopus, Ei 2019","2019 The 3rd International Conference on Graphics and Signal Processing (ICGSP 2019)--Ei Compendex, Scopus","Hong Kong"
"ACM--ICDPA--Scopus, Ei 2019","ACM--2019 The 5th International Conference on Data Processing and Applications (ICDPA 2019)--Scopus, Ei Compendex","Shanghai, China"
"ICCDE--Ei and Scopus 2019","2019 5th International Conference on Computing and Data Engineering (ICCDE 2019)--Ei Compendex and Scopus","Shanghai, China"
"ICBCT--EI Compendex and Scopus 2019","2019 International Conference on Blockchain Technology (ICBCT 2019)--EI Compendex and Scopus","Honolulu, Hawaii, the United States"
"PDDM 2018","Special Issue  on Parallel and Distributed Data Mining","N/A"
"WSDM  2019","International Workshop on Web Search and Data Mining ","Leuven, Belgium"
"ACM--ICCDA--Ei Compendex, Scopus 2019","ACM--2019 3rd International Conference on Compute and Data Analysis (ICCDA 2019)--Ei Compendex, Scopus","University of Hawaii Maui College, USA"
"ICBDM--Ei Compendex and Scopus 2019","2019 the 2nd International Conference on Big Data Management (ICBDM 2019)--Ei Compendex and Scopus","Zhuhai, China"
"EI/SCOPUS-PRA 2019","2019 Workshop on Pattern Recognition Applications (PRA 2019)","Shanghai, China"
"§ª§Õ§Ö§ß§ä§Ú§æ§Ú§Ü§Ñ§è§Ú§ñ 2019","§³§Ö§Ü§è§Ú§ñ <U+00AB>§ª§¥§¦§¯§´§ª§¶§ª§¬§¡§¸§ª§Á §³§ª§³§´§¦§®<U+00BB> §Ó §â§Ñ§Þ§Ü§Ñ§ç XIII §£§ã§Ö§â§à§ã§ã§Ú§Û§ã§Ü§à§Ô§à §ã§à§Ó§Ö§ë§Ñ§ß§Ú§ñ §á§à §á§â§à§Ò§Ý§Ö§Þ§Ñ§Þ §å§á§â§Ñ§Ó§Ý§Ö§ß§Ú§ñ","§®§à§ã§Ü§Ó§Ñ, §²§à§ã§ã§Ú§ñ"
"DMKD 2019","2019 2nd International Conference on Data Mining and Knowledge Discovery(DMKD 2019)","Shanghai, China"
"Ei ICEPOE 2019","2019 3rd International Conference on Engineering Physics and Optoelectronic Engineering (ICEPOE 2019)","<U+00A0>Kuala Lumpur,<U+00A0>Malaysia"
"ICBDE--ACM, Ei and Scopus 2019","ACM--2019 2nd International Conference on Big Data and Education (ICBDE 2019)--Ei Compendex and Scopus","London, UK"
"ACM--ICISDM--Ei and Scopus 2019","ACM--2019 3rd International Conference on Information System and Data Mining (ICISDM 2019)--Ei Compendex and Scopus","University of Houston, Texas, USA"
"ICKMS--Ei and Scopus 2019","2019 2nd International Conference on Knowledge Management Systems (ICKMS 2019)--Ei Compendex and Scopus","University of Houston, Texas, USA"
"ACM--ICBDC--Ei and Scopus 2019","ACM--2019 4th International Conference on Big Data and Computing (ICBDC 2019)--Ei Compendex and Scopus","Guangzhou, China"
"ICCCBDA--Ei and Scopus 2019","2019 the 4th International Conference on Cloud Computing and Big Data Analytics (ICCCBDA 2019)--Ei Compendex and Scopus","Chengdu, China"
"Decision Support Systems 2019","Decision Support Systems - Special Session of KES IDT 2019","St'Julian, Malta"
"DSA 2019","The Frontiers in Intelligent Data and Signal Analysis DSA 2019","New York"
"ICDM 2019","19th Industrial Conference on Data Mining ICDM 2019","New York"
"ICKEA--Ei Compendex and Scopus 2019","2019 The 4th International Conference on Knowledge Engineering and Applications (ICKEA 2019)--Ei Compendex and Scopus","Beijing,China"
"MLDM 2019","15th International Conference on Machine Learning and Data Mining MLDM 2019","New York"
"SOCO 2019","14th International Conference on Soft Computing Models in Industrial and Environmental Applications","Seville, Spain"
"ICFCA 2019","The 15th International Conference on Formal Concept Analysis","Frankfurt, Germany"
"iDSC 2019","2nd International Data Science Conference","Salzburg / Austria"
"ICITS--EI Compendex, SCOPUS 2019","2019 The 7th International Conference on Information Technology and Science (ICITS 2019)--EI Compendex, SCOPUS","Hong Kong"
"BDAI--Ei and Scopus 2019","2019 2nd International Conference on Big Data and Artificial Intelligence (BDAI 2019)--Ei Compendex and Scopus","Guangzhou, China"
"DSDE--Ei Compendex and Scopus 2019","2019 International Conference on Data Storage and Data Engineering (DSDE 2019)--Ei Compendex and Scopus","Jeju Island, South Korea"
"Data Science  2019","2nd Annual International Great Lakes Data Science Symposium","Erie, PA"
"BDE--EI, Scopus 2019","2019 International Conference on Big Data Engineering (BDE 2019)--EI Compendex, Scopus","Hong Kong"
"FEND 2019","Workshop on Data Mining for Fake News in Social Media: Propagation, Detection, and Mitigation (FEND'19)@ SDM 2019","Alberta, Canada"
"DSBFI 2019","ISSAT International Conference on Data Science in Business, Finance and Industry","Da Nang, Vietnam"
"DSIS 2019","ISSAT International Conference on Data Science and Intelligent Systems","Las Vegas, Nevada, USA"
"EDML 2019","1st Workshop on Evaluation and Experimental Design in Data Mining and Machine Learning @ SDM 2019","Calgary"
"EDM 2019","The 12th International Conference on Educational Data Mining","Montreal, Canada"
"DATA 2019","8th International Conference on Data Science, Technology and Applications","Prague, Czech Republic"
"ICDMML 2019","¡¾ACM ICPS EI SCOPUS¡¿2019 International Conference on Data Mining and Machine Learning","Hong Kong"
"ICCBDC--Ei and Scopus 2019","2019 3rd International Conference on Cloud and Big Data Computing (ICCBDC 2019)--Ei Compendex and Scopus","Oxford, United Kingdom"
"RecSys 2019","13th ACM Conference on Recommender Systems","Copenhagen, Denmark"
"COMML 2020","International Conference on Optimization, Metaheuristics and Machine Learning","Xi'an"
"CSEIT 2018","5th International Conference on Computer Science, Engineering and Information Technology","Dubai,UAE"
"CSEIT 2018","5th International Conference on Computer Science, Engineering and Information Technology","Dubai,UAE"
"Task Intelligence - WSDM 2019","Task Intelligence Workshop at WSDM 2019","Melbourne, Australia"
"SPPR  2018","Call for Participation-7th International Conference on Signal, Image Processing and Pattern Recognition ","Sydney, Australia"
"ISCSAI 2018","2018 International Symposium on Computer Science and Artificial Intelligence","Hong Kong"
"IMCS 2018","Information Management and Computer Science","N/A"
"ICETI 2018","2018 3rd International Conference on Engineering and Technology Innovations","Hong Kong"
"IMCS 2018","2018 International Conference on Information Management and Computer Science","Hong Kong"
"NECO 2018"," Call for Participation - 7th International Conference of Networks and Communications (NECO 2018)","Sydney , Australia"
"AIHealth@FLAIRS 2019","AI in Healthcare Informatics Special Track at FLAIRS","Sarasota, FL"
"BIOENG  2018","3rd International Conference on Bioscience & Engineering (BIOENG 2018)","Dubai, UAE"
"GRAPH-HOC 2018","10th International Conference on Applications of Graph Theory in Wireless Ad hoc Networks and Sensor Networks","Dubai, UAE"
"WiMoNe 2018","10th International Conference on Wireless & Mobile Networks (WiMoNe-2018)","Dubai, UAE"
"APIT 2019","2019 Asia Pacific Information Technology Conference APIT in Jeju Island, South Korea","Jeju Island, South Korea"
