"conference_acronym","conference_name","conference_location"
"1","AMLD 2019","Applied Machine Learning Days","EPFL, Lausanne, Switzerland"
"2","OLA 2019","OLA'2019 Int. Workshop on Optimization and Learning","Bangkok Thailand"
"3","AECCC--Ei Compendex and Scopus 2019","2019 African Electronics, Computer and Communication Conference (AECCC 2019)--Ei Compendex and Scopus","Rabat, Morocco"
"4","IJSCAI 2018","International Journal on Soft Computing, Artificial Intelligence and Applications ","N/A"
"5","IJAIA 2018","International Journal of Artificial Intelligence & Applications","N/A"
"6","ICACS--Ei Compendex and Scopus 2019","2019 3rd International Conference on Algorithms, Computing and Systems (ICACS 2019)--Ei Compendex and Scopus","Rabat, Morocco"
"7","SIPO 2019","3rd International Conference on Signal, Image Processing ","Chennai, India"
"8","IJDPS 2018","International Journal of Distributed and Parallel systems","N/A"
"9","AIAPP 2019","6th International Conference on Artificial Intelligence and Applications (AIAPP 2019)","Dubai, UAE"
"10","UVS-Oman 2019","1st International Conference on Unmanned Vehicle Systems, Oman (IEEE)","Muscat, Oman"
"11","CSEIT 2018","5th International Conference on Computer Science, Engineering and Information Technology","Dubai,UAE"
"12","ORAJ 2018","Operations Research and Applications: An International Journal ","N/A"
"13","SCAI 2018","7th International Conference On Soft Computing, Artificial Intelligence And Applications ","Sydney , Australia"
"14","SOEA  2019","3rd International Conference on Software Engineering and Applications","Chennai, India"
"15"," ACIJ 2018","Advanced Computing: An International Journal","N/A"
"16","SIPRO  2019","5th International Conference on Signal and Image Processing ","Toronto, Canada"
"17","SPM  2018","5th International Conference on Signal, Image Processing and Multimedia ","Dubai, UAE"
"18","NECO 2018","7th International Conference of Networks and Communications ","Sydney, Australia"
"19","RAPRAI 2018","Special Issue on “Recent Advances in Pattern Recognition and Artificial Intelligence” in Neural Computing and Applications","N/A"
"20","DMDB  2019","6th International Conference on Data Mining and Database ","Vancouver, Canada"
"21","2W2T-EI/Scopus/CPCI 2019","2019 International Conference on Advances in Water and Wastewater Treatment Technologies (2W2T 2019)","Shenzhen, China"
"22","AIFU  2019","5th International Conference on Artificial Intelligence and Applications ","Toronto, Canada "
"23","IJFCST 2018","International Journal on Foundations of Computer Science & Technology","N/A"
"24","AISCA  2019","3rd International Conference on Artificial Intelligence, Soft Computing And Applications ","Chennai, India"
"25","IEEE--CRC--Ei Compendex & Scopus 2018","2018 the 3rd International Conference on Cybernetics, Robotics and Control (CRC 2018)--IEEE, Ei Compendex & Scopus","Penang, Malaysia"
"26","ICCTS--EI, Scopus 2018","2018 7th International Conference on Computer Technology and Science (ICCTS 2018)--EI Compendex, Scopus","Ho Chi Minh, Vietnam"
"27","ACAI-EI/Scopus 2018","2018 International Conference on Algorithms, Computing and Artificial Intelligence (ACAI 2018)","Sanya, China"
